NOME_PROVINCIA,NOME_COMUNE,DECESSI_HIGH,DECESSI_LOW,AVG
Como,Centro Valle Intelvi,8,8,8
Como,Cerano d'Intelvi,1,0,1
Como,Cermenate,34,34,34
Como,Cernobbio,16,0,16
Como,Cirimido,3,0,3
Como,Claino con Osteno,2,0,2
Como,Colonno,0,0,0
Como,Colverde,12,12,12
Como,Como,280,280,280
Como,Corrido,1,0,1
Como,Cremia,2,0,2
Como,Cucciago,4,0,4
Como,Cusino,1,0,1
Como,Dizzasco,3,0,3
Como,Domaso,4,0,4
Como,Dongo,8,8,8
Como,Dosso del Liro,0,0,0
Como,Erba,42,42,42
Como,Eupilio,3,0,3
Como,Faggeto Lario,2,0,2
Como,Faloppio,6,0,6
Como,Fenegrò,5,0,5
Como,Figino Serenza,16,16,16
Como,Fino Mornasco,17,1,17
Como,Garzeno,3,0,3
Como,Gera Lario,2,0,2
Como,Grandate,12,12,12
Como,Grandola ed Uniti,4,0,4
Como,Gravedona ed Uniti,12,0,12
Como,Griante,2,0,2
Como,Guanzate,9,2,9
Como,Inverigo,24,24,24
Como,Laglio,2,0,2
Como,Laino,2,0,2
Como,Lambrugo,6,0,6
Como,Lasnigo,1,0,1
Como,Lezzeno,9,0,9
Como,Limido Comasco,7,0,7
Como,Lipomo,22,22,22
Como,Livo,0,0,0
Como,Locate Varesino,9,0,9
Como,Lomazzo,22,22,22
Como,Longone al Segrino,1,0,1
Como,Luisago,10,10,10
Como,Lurago d'Erba,14,14,14
Como,Lurago Marinone,4,0,4
Como,Lurate Caccivio,26,26,26
Como,Magreglio,3,0,3
Como,Mariano Comense,80,80,80
Como,Maslianico,18,18,18
Como,Menaggio,16,16,16
Como,Merone,4,0,4
Como,Moltrasio,5,1,5
Como,Monguzzo,3,0,3
Como,Montano Lucino,9,1,9
Como,Montemezzo,1,0,1
Como,Montorfano,6,0,6
Como,Mozzate,13,4,13
Como,Musso,2,0,2
Como,Nesso,4,0,4
Como,Novedrate,5,0,5
Como,Olgiate Comasco,24,24,24
Como,Oltrona di San Mamette,3,0,3
Como,Orsenigo,3,0,3
Como,Pianello del Lario,3,0,3
Como,Plesio,0,0,0
Como,Pognana Lario,2,0,2
