"","NOME_PROVINCIA","DATA","SESSO","DECESSI","POPOLAZIONE","DECESSI_P10k"
"215","Bergamo",2015-03-13,"MASCHI",13,548873,0,236848961417304
"216","Bergamo",2015-03-13,"TOTALE",36,1108570,0,324742686524081
"217","Bergamo",2015-03-14,"FEMMINE",18,559697,0,32160258139672
"218","Bergamo",2015-03-14,"MASCHI",15,548873,0,273287263173813
"219","Bergamo",2015-03-14,"TOTALE",33,1108570,0,297680795980407
"220","Bergamo",2015-03-15,"FEMMINE",10,559696,0,178668419999428
"221","Bergamo",2015-03-15,"MASCHI",12,548872,0,218630208864726
"222","Bergamo",2015-03-15,"TOTALE",22,1108569,0,198454043004991
"223","Bergamo",2015-03-16,"FEMMINE",10,559696,0,178668419999428
"224","Bergamo",2015-03-16,"MASCHI",18,548872,0,327945313297089
"225","Bergamo",2015-03-16,"TOTALE",28,1108568,0,252578100757013
"226","Bergamo",2015-03-17,"FEMMINE",16,559696,0,285869471999085
"227","Bergamo",2015-03-17,"MASCHI",17,548871,0,309726693521793
"228","Bergamo",2015-03-17,"TOTALE",33,1108568,0,297681333035051
"229","Bergamo",2015-03-18,"FEMMINE",16,559696,0,285869471999085
"230","Bergamo",2015-03-18,"MASCHI",15,548871,0,273288258989817
"231","Bergamo",2015-03-18,"TOTALE",31,1108567,0,279640292377457
"232","Bergamo",2015-03-19,"FEMMINE",14,559695,0,250136234913658
"233","Bergamo",2015-03-19,"MASCHI",13,548870,0,236850255980469
"234","Bergamo",2015-03-19,"TOTALE",27,1108566,0,243557893711335
"235","Bergamo",2015-03-20,"FEMMINE",12,559695,0,21440248706885
"236","Bergamo",2015-03-20,"MASCHI",19,548870,0,346165758740685
"237","Bergamo",2015-03-20,"TOTALE",31,1108566,0,279640544631533
"238","Bergamo",2015-03-21,"FEMMINE",18,559695,0,321603730603275
"239","Bergamo",2015-03-21,"MASCHI",16,548869,0,291508538467285
"240","Bergamo",2015-03-21,"TOTALE",34,1108565,0,306702809487942
"241","Bergamo",2015-03-22,"FEMMINE",20,559695,0,357337478448083
"242","Bergamo",2015-03-22,"MASCHI",15,548869,0,273289254813079
"243","Bergamo",2015-03-22,"TOTALE",35,1108564,0,315723765159251
"244","Bergamo",2015-03-23,"FEMMINE",18,559695,0,321603730603275
"245","Bergamo",2015-03-23,"MASCHI",11,548869,0,200412120196258
"246","Bergamo",2015-03-23,"TOTALE",29,1108564,0,261599691131951
"247","Bergamo",2015-03-24,"FEMMINE",24,559694,0,42880574027951
"248","Bergamo",2015-03-24,"MASCHI",11,548868,0,20041248533345
"249","Bergamo",2015-03-24,"TOTALE",35,1108563,0,315724049963782
"250","Bergamo",2015-03-25,"FEMMINE",10,559694,0,178669058449796
"251","Bergamo",2015-03-25,"MASCHI",14,548868,0,255070435878936
"252","Bergamo",2015-03-25,"TOTALE",24,1108562,0,216496686698624
"253","Bergamo",2015-03-26,"FEMMINE",12,559694,0,214402870139755
"254","Bergamo",2015-03-26,"MASCHI",9,548867,0,163974150386159
"255","Bergamo",2015-03-26,"TOTALE",21,1108562,0,189434600861296
"256","Bergamo",2015-03-27,"FEMMINE",15,559694,0,268003587674694
"257","Bergamo",2015-03-27,"MASCHI",5,548867,0,0910967502145328
"258","Bergamo",2015-03-27,"TOTALE",20,1108561,0,18041406832822
"259","Bergamo",2015-03-28,"FEMMINE",21,559693,0,37520569312105
"260","Bergamo",2015-03-28,"MASCHI",17,548866,0,309729515036457
"261","Bergamo",2015-03-28,"TOTALE",38,1108560,0,34278703904164
"262","Bergamo",2015-03-29,"FEMMINE",7,559693,0,125068564373683
"263","Bergamo",2015-03-29,"MASCHI",10,548866,0,182193832374386
"264","Bergamo",2015-03-29,"TOTALE",17,1108560,0,153352096413365
"265","Bergamo",2015-03-30,"FEMMINE",16,559693,0,285871004282705
"266","Bergamo",2015-03-30,"MASCHI",17,548865,0,309730079345559
"267","Bergamo",2015-03-30,"TOTALE",33,1108559,0,297683749804927
"268","Bergamo",2015-03-31,"FEMMINE",14,559693,0,250137128747367
"269","Bergamo",2015-03-31,"MASCHI",13,548865,0,236852413617192
"270","Bergamo",2015-03-31,"TOTALE",27,1108558,0,243559651366911
"271","Bergamo",2015-04-01,"FEMMINE",22,559693,0,393072630888719
"272","Bergamo",2015-04-01,"MASCHI",14,548865,0,255071830049284
"273","Bergamo",2015-04-01,"TOTALE",36,1108558,0,324746201822548
"274","Bergamo",2015-04-02,"FEMMINE",13,559690,0,232271435973485
"275","Bergamo",2015-04-02,"MASCHI",13,548864,0,236852845149254
"276","Bergamo",2015-04-02,"TOTALE",26,1108555,0,234539558253763
"277","Bergamo",2015-04-03,"FEMMINE",13,559688,0,232272265976758
"278","Bergamo",2015-04-03,"MASCHI",5,548863,0,0910974141088031
"279","Bergamo",2015-04-03,"TOTALE",18,1108552,0,162373979750161
"280","Bergamo",2015-04-04,"FEMMINE",22,559685,0,393078249372415
